section,display_name,part_file,flags,m11,m12,m13,m21,m22,m23,m31,m32,m33,offx,offy,offz,raw_tail,source_line
HATS,Hair Long and Straight Parted in the Middle,41612.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,229
HATS,Hair Long Straight,40239.dat,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,230
HATS,Hair Long Straight with Three Braids and Elves Ears,10055.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,231
HATS,Hair Long Tousled with Centre Parting,20595.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,233
HATS,Hair Long with Curls,11255.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,234
HATS,Hair Long with French Braid,59363.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,235
HATS,Hair Long with Headband,30114.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,236
HATS,Hair Long with Headband and Feathers (Complete),30114C01.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,237
HATS,Hair Long with One Front Lock,85974.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,238
HATS,Hair Long Wavy,40251.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,240
HATS,Hair Long Wavy with Braid and Elf Ears,13766.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,241
HATS,Hair Long Wavy with Bright Pink Knit Ski Cap Pattern,80577P01.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,244
HATS,Hair Long Wavy with Knit Ski Cap,80577.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,245
HATS,Hair Mid-Length Flipped Ends with Cat Ears,20592.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,246
HATS,Hair Mid-Length Flipped Ends with Black Cat Ears Pattern,20592P02.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,247
HATS,Hair Mid-Length Straight with Blue Crown Pattern,18835P02.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,250
HATS,Hair Mid-Length Straight with Crown,18835.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,251
HATS,Hair Mid-Length Straight with Gold Crown Pattern,18835P01.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,252
HATS,Hair Orc with Dark Tan Ears Pattern,10066P01.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,253
HATS,Hair Orc with Ears,10066.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,254
HATS,Hair Orc with Medium Nougat Ears Pattern,10066P02.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,255
HATS,Hair Orc with Olive Green Ears Pattern,10066P03.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,256
HATS,Hair Peaked,42444.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,257
HATS,Hair Ponytail,6093a.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,258
HATS,Hair Ponytail Off-centre,15427.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,259
HATS,Hair Ponytail Off-centre with Magenta Stripe Pattern,15427P02.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,260
HATS,Hair Ponytail with Long Bangs,62696.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,262
HATS,Hair Pulled Back,92756.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,263
HATS,Hair Put Up with Braids,53126.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,264
HATS,Hair Short Bowl Cut,40240.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,265
HATS,Hair Short Combed Sideways with Left Parting,99930.DAT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,266
